,1000m,250m,100m
1,4.52020156,5.5477599,8.36725808
1.097843767,4.56450206,5.53743192,8.44419136
1.205260937,4.50673842,5.5608862,8.41781616
1.323188207,4.5594767,5.49378596,8.28785924
1.452653926,4.47844298,5.56080796,8.48401518
1.594787058,4.53854194,5.52269078,8.30488458
1.750827032,4.51879056,5.56979316,8.76103848
1.922134544,4.52045772,5.56596932,9.68224438
2.110203429,4.4919403,5.5689942,10.51857222
2.316673681,4.54186128,5.48878514,11.63995104
2.543345761,4.49990394,5.62078424,12.62927542
2.792196292,4.5632928,5.48696542,13.91792496
3.065395295,4.52265396,5.56642008,15.39037916
3.365325118,4.5680283,5.6018265,12.19933732
3.694601205,4.55188248,5.63206392,13.2219571
4.056094905,4.51426982,5.48700076,14.27315116
4.45295851,4.58458484,5.92913374,15.3877173
4.888652745,4.48829872,6.42893424,16.4182207
5.366976946,4.56965818,7.17550102,17.88352384
5.892102188,4.49397144,7.6509138,19.48708256
6.468607662,4.51364056,8.4354986,20.99130374
7.101520603,4.56018556,9.174452,23.11190134
7.79636013,4.61128982,10.0241065,24.64042386
8.559185375,4.51303554,11.1238857,27.13251178
9.396648315,4.57616426,12.1849726,29.23075994
10.31605178,4.5271092,13.33796632,32.03082024
11.32541315,4.58166678,14.63257348,34.72294208
12.43353424,4.53765838,11.23589792,38.39085458
13.65007807,4.56340052,12.06207586,40.95011282
14.98565312,4.5206813,13.14876268,46.13418786
16.45190588,4.56879906,14.4719071,48.59124372
18.06162232,4.86360794,15.66030972,55.26246122
19.82883949,5.822162,18.5741963,59.1035788
22.45697996,6.5354764,20.4743092,66.029128
25.43345761,7.3191959,22.8183953,73.264658
28.80444153,8.2453129,26.1432229,81.4866202
32.6222201,9.2661268,28.694509,90.4503961
36.94601205,10.5395456,32.0051187,101.2582594
41.84288508,11.9316657,36.2593978,112.2070644
47.3887961,13.4924415,39.4514398,125.1931317
53.66976946,15.0400902,44.2041343,141.0966129
60.78323128,17.1624542,50.0014916,156.9702756
68.8395207,19.2032402,55.7485028,173.5129553
77.9636013,21.2843064,60.876906,195.735721
88.29699955,24.562691,68.7815867,221.64057
100,26.6199237,75.6292265,248.9533594
113.2541315,21.0060826,83.0108775,277.5726526
128.2649831,24.4167992,96.145177,315.0217734
145.2653926,26.3954575,105.9306406,354.8343989
164.5190588,29.5756121,117.9460998,379.7096467
186.3246312,33.8200717,135.6475214,458.5525469
211.0203429,37.4839571,151.0162428,495.6685211
238.9892566,40.6858941,169.3002476,485.5296145
270.665207,47.0478269,193.5874986,653.2230031
306.5395295,51.1862713,213.8998674,652.8178647
347.1686819,56.5238055,242.0060496,632.1490563
393.1828756,64.9795999,274.1971131,913.485089
445.295851,71.1615416,305.4731037,836.7874582
504.3159487,79.5511847,347.0334928,822.2890589
571.1586478,91.478727,389.2270209,1219.942503
646.8607662,100.4473851,433.1552852,1077.065367
732.5965428,111.6928246,464.8970086,1092.279167
829.6958521,129.5043337,534.6524637,1573.71136
939.6648315,142.0032032,585.019596,1380.645023
1064.209244,160.4734213,568.926826,1432.122005
1205.260937,183.6297372,737.3552697,2112.528506
1365.007807,202.1879491,756.6949409,1886.295573
1545.927736,229.7025592,713.1529513,1997.017774
1750.827032,260.3371824,1030.590031,2757.856006
1982.883949,287.7222797,964.4937182,2509.413785
2245.697996,324.6084176,941.898821,2796.100087
2543.345761,361.8198243,1406.528382,3712.541584
2880.444153,401.7606073,1234.715253,5462.301572
3262.22201,440.3614493,1801.605661,6508.277195
3694.601205,499.3940985,2815.018981,7992.022905
4184.288508,552.3529164,2471.283336,8301.672177
4738.87961,557.9525549,2670.406965,9409.600616
5366.976946,1035.435783,3838.788808,11240.46983
6078.323128,871.285643,3432.424648,11907.32842
6883.95207,971.6706486,3712.462725,13200.61095
7796.36013,1481.69139,5043.258777,15429.31017
8829.699955,1287.987684,4802.541421,16509.24831
10000,1291.755161,5038.039236,18367.34354
