,Original,250m,100m,50m,25m
0.01,19.96425056,18.58498764,12.80755711,6.201693535,3.778980017
0.011220185,19.28383255,17.93896484,11.60490036,4.028073788,1.602387667
0.012589254,18.72847366,16.68532372,9.587181091,3.483303308,1.402834892
0.014125375,18.28061867,15.23935795,6.479260921,2.896115541,1.245502353
0.015848932,17.30891037,14.14060497,5.674194336,2.599669695,1.102129102
0.017782794,16.18121147,12.9204731,5.013560295,2.204434395,0.909948587
0.019952623,15.35085392,11.46558094,3.808622837,0.949621916,1.011689067
0.022387211,14.27440166,9.300374031,3.333681107,0.813426495,0.829348385
0.025118864,12.97366524,7.777749062,2.780512333,0.776139677,0.677641809
0.028183829,11.49567699,6.047740459,2.177105188,0.742116392,0.700091541
0.031622777,9.590485573,5.492376328,1.835674524,0.687618613,0.637156606
0.035481339,7.823533058,4.892716885,1.058784008,0.65681839,0.555355072
0.039810717,6.436443329,3.88526845,0.72410661,0.613633573,0.495821863
0.044668359,5.829431057,3.257880688,0.696260691,0.580873966,0.34741658
0.050118723,5.521580219,2.489550591,0.66007179,0.634133816,0.29271099
0.056234133,5.303071976,2.205062389,0.63251406,0.498595655,0.241428167
0.063095734,4.890001297,1.834919214,0.604547143,0.438554704,0.188564867
0.070794578,4.266103268,1.168043375,0.57740134,0.374343038,0.10176608
0.079432823,3.166618347,0.795101523,0.541533828,0.321468741,0.061713126
0.089125094,2.648842812,0.637427509,0.499361038,0.281201065,0.053925276
0.1,2.192470074,0.610130906,0.453229964,0.232115492,0.028271545
0.112201845,1.833400607,0.57959801,0.397123367,0.163773403,0.020005664
0.125892541,1.447205067,0.556187809,0.354598165,0.11579068,0.020200457
0.141253754,1.028967977,0.532982945,0.307024837,0.056961928,0.019048009
0.158489319,0.599700987,0.50775826,0.258586884,0.035589322,0.011593239
0.177827941,0.757382274,0.468568832,0.196617454,0.02879676,0.008933566
0.199526231,0.562363625,0.419554561,0.158394992,0.020980632,0.002242352
0.223872114,0.43908909,0.367119789,0.11209321,0.018027117,-0.000504034
0.251188643,0.398765922,0.324665636,0.065231107,0.009918187,-0.001210829
0.281838293,0.34549582,0.286303848,0.04716821,0.009120585,-0.002504641
0.316227766,0.311912954,0.241259456,0.036904003,0.007130936,-0.003512095
0.354813389,0.266338229,0.206691712,0.021854103,0.003839927,-0.003400262
0.398107171,0.22877042,0.167474851,0.012476927,-0.006649266,-0.004278066
0.446683592,0.169565007,0.123731025,0.009064722,-0.005896231,-0.004271019
0.501187234,0.135749757,0.09230531,0.009305282,-0.006329474,-0.004344211
0.562341325,0.115790516,0.066750929,0.00453997,-0.006078823,-0.006619378
0.630957344,0.102944255,0.044552717,0.001092471,-0.00623176,-0.008602376
0.707945784,0.087262869,0.038062267,-0.00604327,-0.005752977,-0.011494735
0.794328235,0.068700224,0.020259386,-0.010002984,-0.006750706,-0.015331313
0.891250938,0.055523075,0.010636929,-0.008100563,-0.007600452,-0.017368987
1,0.04286883,0.005945845,-0.012838707,-0.010026073,-0.01922923
1.122018454,0.036525715,-0.006344186,-0.008905267,-0.01000458,-0.023805704
1.258925412,0.022802217,-0.005453805,-0.010344354,-0.012399588,-0.029859671
1.412537545,0.015345318,-0.005912046,-0.011237298,-0.016669709,-0.040062759
1.584893192,-0.000264129,-0.006711643,-0.011395874,-0.020738475,-0.048707787
1.77827941,0.000133981,-0.011163436,-0.014107851,-0.02485208,-0.059747707
1.995262315,-0.006846501,-0.010989579,-0.015749536,-0.02938311,-0.068839177
2.238721139,-0.02772272,-0.021974722,-0.022142131,-0.03565998,-0.080296949
2.511886432,-0.029733496,-0.023481384,-0.026948251,-0.040242407,-0.091772571
2.818382931,-0.031449776,-0.025099311,-0.02698054,-0.048700072,-0.11246255
3.16227766,-0.034523163,-0.023021897,-0.034324642,-0.064870805,-0.135719463
3.548133892,-0.036927037,-0.028366812,-0.035347015,-0.07416296,-0.156509534
3.981071706,-0.038629856,-0.02828989,-0.035326369,-0.087926373,-0.187068895
4.466835922,-0.039286055,-0.030753,-0.047922753,-0.10764388,-0.231076583
5.011872336,-0.040063884,-0.03203477,-0.05898454,-0.124809496,-0.282079786
5.623413252,-0.053454835,-0.047492884,-0.071013592,-0.152678445,-0.347976923
6.309573445,-0.058752883,-0.052734233,-0.08690957,-0.187153339,-0.429871082
7.079457844,-0.064126365,-0.058533646,-0.111094065,-0.217640579,-0.531123638
7.943282347,-0.071524478,-0.060519617,-0.131468222,-0.268219948,-0.656006157
8.912509381,-18.96918106,-0.075940967,-0.144685537,-0.320630372,-0.818872035
10,-207.7030334,-0.087071955,-0.180882677,-0.387094229,-1.022880197
11.22018454,-287.6471252,-0.098855078,-0.226444244,-0.47782439,-1.278794408
12.58925412,-379.0621033,-0.133482158,-0.262585193,-0.586342812,-1.598644614
14.12537545,-480.5822449,-0.161156029,-0.323275894,-0.718021691,-2.011821985
15.84893192,-586.1286011,-0.167649448,-0.387090355,-0.885270655,-2.524098635
17.7827941,-705.3147583,-0.223929033,-0.459037483,-1.079630136,-3.164746284
19.95262315,-840.28125,-0.240664974,-0.554253936,-1.324253559,-37084.71094
22.38721139,-991.9738159,-0.292988777,-0.657265782,-1.622112155,-40824.375
25.11886432,-1148.643066,-1385.829956,-0.801014125,-1.989995241,-44572.33594
28.18382931,-1307.28186,-1606.769165,-0.964922607,-14366.44629,-48903.80859
31.6227766,-1455.415161,-1786.880493,-4997.192383,-15927.10742,-53956.97266
35.48133892,-1643.832031,-2013.912109,-5618.583008,-17344.27734,-60109.15625
39.81071706,-1772.660278,-2218.016357,-6196.221191,-18858.89063,-67964.90625
44.66835922,-1945.002686,-2457.679443,-6808.364258,-20623.29297,-77938.67188
50.11872336,-2097.508545,-2724.253662,-7451.865723,-22744.2832,-89686.10156
56.23413252,-2286.382324,-2930.476563,-8271.950195,-24976.51563,-103239.3594
60,-2388.401123,-3128.652588,-8693.897461,-26629.70117,-112027.6875
