vsol1,1000m,250m,100m
1,-2407.761719,-3128.652588,-8693.897461
1.132541315,-2407.761719,-3128.652588,-8693.897461
1.282649831,-2407.761719,-3128.652588,-8693.897461
1.452653926,-2407.761719,-3128.652588,-8693.897461
1.645190588,-2407.761719,-3128.652588,-8693.897461
1.863246312,-2407.761719,-3128.652588,-7895.14502
2.110203429,-2407.761719,-3128.652588,-7179.958496
2.389892566,-2407.761719,-3128.652588,-6452.567871
2.70665207,-2407.761719,-3128.652588,-5834.959473
3.065395295,-2407.761719,-3128.652588,-5234.491211
3.471686819,-2407.761719,-3128.652588,-1.009538651
3.931828756,-2407.761719,-3128.652588,-0.819603562
4.45295851,-2407.761719,-2930.47998,-0.661184609
5.043159487,-2407.761719,-2702.749023,-0.549823761
5.711586478,-2407.761719,-2407.966309,-0.448576182
6.468607662,-2407.761719,-2166.043213,-0.374310344
7.325965428,-2407.761719,-1955.374268,-0.309412539
8.296958521,-2407.761719,-1700.190186,-0.249492764
9.396648315,-2407.761719,-1497.244873,-0.203105271
10.64209244,-2407.761719,-1294.652954,-0.165258154
12.05260937,-2407.761719,-0.252376467,-0.140140936
13.65007807,-2407.761719,-0.232647792,-0.115512602
15.45927736,-2407.761719,-0.178753674,-0.095512614
17.50827032,-2294.799561,-0.166344687,-0.069178976
19.82883949,-2098.350586,-0.135576457,-0.056926675
22.45697996,-1921.864746,-0.097725168,-0.047837917
25.43345761,-1782.360229,-0.09012527,-0.038275085
28.80444153,-1602.581665,-0.078862749,-0.045727398
32.6222201,-1402.30481,-0.06803152,-0.040466629
36.94601205,-1256.976563,-0.058542106,-0.028912898
41.84288508,-1087.2229,-0.054440957,-0.024186263
47.3887961,-912.9591675,-0.037729591,-0.012788999
53.66976946,-760.947998,-0.029768219,-0.015162379
60.78323128,-618.161499,-0.02805556,-0.012681245
68.8395207,-500.3320007,-0.023702677,-0.009550977
77.9636013,-403.6548462,-0.021667207,-0.007132741
88.29699955,-287.9268799,-0.023183364,-0.007720427
100,-205.6656799,-0.022928335,-0.009376135
113.2541315,-0.080741622,-0.010464004,-0.005406137
128.2649831,-0.071694367,-0.007830147,-0.007578358
145.2653926,-0.067447908,-0.012398303,0.001080473
164.5190588,-0.061179422,-0.006504741,0.005273141
186.3246312,-0.04131208,-0.008250199,0.008851815
211.0203429,-0.041882977,-0.001117714,0.013260477
238.9892566,-0.03853333,0.007248871,0.014613248
270.665207,-0.039169934,0.009353738,0.025045054
306.5395295,-0.034920514,0.020690372,0.029707445
347.1686819,-0.032888219,0.035576358,0.051766407
393.1828756,-0.030449297,0.043069437,0.066106476
445.295851,-0.023446485,0.071103036,0.107265398
504.3159487,-0.013419073,0.088383861,0.167575002
571.1586478,0.001125688,0.131920978,0.221435755
646.8607662,0.002689052,0.181856021,0.276867449
732.5965428,0.017481778,0.225547433,0.324954778
829.6958521,0.028033132,0.263815135,0.375396729
939.6648315,0.037214361,0.303804576,0.419686675
1064.209244,0.048362054,0.348461479,0.482160509
1205.260937,0.065995827,0.398271054,0.532865226
1365.007807,0.081663363,0.456841975,0.569704175
1545.927736,0.095114276,0.498568922,0.601895154
1750.827032,0.115062661,0.529010594,0.63703686
1982.883949,0.130947351,0.55608058,0.6721192
2245.697996,0.176644444,0.5799734,0.702695429
2543.345761,0.237512261,0.612488806,0.741837978
2880.444153,0.277388483,0.642653227,1.137217522
3262.22201,0.325033724,0.908819258,1.938451767
3694.601205,0.362452507,1.428120613,2.364624023
4184.288508,0.410636187,2.021546364,2.990818024
4738.87961,0.455413818,2.369178534,3.587095499
5366.976946,0.703191876,3.001312733,4.438008785
6078.323128,0.544427335,3.697363853,5.587564945
6883.95207,0.915652454,4.684962749,6.167021275
7796.36013,1.439409614,5.414793015,9.012631416
8829.699955,1.810561538,6.02696228,11.5258255
10000,2.194692373,7.843646049,12.80858135
