,50m,25m
1,-22692.97266,-44468.43359
1.097843767,-20953.60742,-41395.11719
1.205260937,-19501.26172,-38384.87891
1.323188207,-18150.42383,-3.547579765
1.452653926,-16944.46484,-2.975111008
1.594787058,-15818.37793,-2.469269037
1.750827032,-14514.53418,-2.054733515
1.922134544,-13374.28613,-1.707752705
2.110203429,-1.794708729,-1.415774226
2.316673681,-1.517076015,-1.181348562
2.543345761,-1.291493177,-0.985107422
2.792196292,-1.094228029,-0.824497461
3.065395295,-0.93363291,-0.690357745
3.365325118,-0.791428328,-0.576192319
3.694601205,-0.668811202,-0.482766181
4.056094905,-0.563652635,-0.406246185
4.45295851,-0.478664309,-0.347068518
4.888652745,-0.402861267,-0.292314708
5.366976946,-0.351467878,-0.245787486
5.892102188,-0.2974841,-0.216246814
6.468607662,-0.256254256,-0.175785765
7.101520603,-0.215995044,-0.155799732
7.79636013,-0.190623879,-0.136132583
8.559185375,-0.163835466,-0.1216425
9.396648315,-0.137527898,-0.099943236
10.31605178,-0.120975032,-0.088748045
11.32541315,-0.10724844,-0.080535017
12.43353424,-0.092091665,-0.070411034
13.65007807,-0.080662444,-0.0608324
14.98565312,-0.070521399,-0.053125929
16.45190588,-0.061920878,-0.045456897
18.06162232,-0.047230594,-0.036851868
19.82883949,-0.042749856,-0.030032549
21.76896784,-0.032561429,-0.024786472
23.89892566,-0.028799614,-0.020865006
26.23728658,-0.026169991,-0.023678564
28.80444153,-0.019853503,-0.017131791
31.6227766,-0.019000445,-0.016332543
34.71686819,-0.016950298,-0.013653462
38.11369735,-0.014592499,-0.013736486
41.84288508,-0.01216176,-0.011631219
45.93695058,-0.00926627,-0.009718686
50.43159487,-0.008402847,-0.007125815
55.36601209,-0.006513173,-0.003754723
60.78323128,-0.004474401,-0.004903076
66.73049161,-0.006769828,-0.002314461
73.25965428,-0.005160126,-0.004298914
80.42765483,-0.00559913,-0.003649659
88.29699955,-0.004726558,-0.00502654
96.93631061,-0.006804647,-0.002137231
106.4209244,-0.006711801,-0.000867728
116.8335485,-0.004376175,-0.000817299
128.2649831,-0.002422023,0.001498362
140.8149122,0.002914513,0.00110785
154.5927736,0.005053982,0.003680616
169.718713,0.003055225,0.008398473
186.3246312,0.006997013,0.013718067
204.555335,0.017189451,0.016104516
224.5697996,0.01924335,0.02246283
246.5425547,0.02209839,0.030965347
270.665207,0.024626998,0.036320694
297.1481105,0.029869867,0.048834588
326.222201,0.046632349,0.064354025
358.14101,0.070983469,0.112110727
393.1828756,0.110448301,0.144364238
431.6533693,0.15138562,0.199223384
473.887961,0.206529737,0.238062695
520.2549442,0.251779944,0.284498274
571.1586478,0.287985921,0.40312168
627.0429615,0.320283324,0.463950783
688.395207,0.366727352,0.504600406
755.7503872,0.415176183,0.593142509
829.6958521,0.463575453,0.64723146
910.8764198,0.529927373,0.740793526
1000,0.633456826,0.92691052
